"tag","freq"
"dvd",1567
"prc-tools",2
"office-macro",9
"text-analysis",55
"recursive-descent",76
"dvi",648
"updatedate",3
"reduce-reduce-conflict",17
"max-width",149
"codepad",10
"subscript",99
"cider",14
"virtualbox",6332
"dvr",80
"puremvc",78
"tipc",3
"f#",4964
"wavelet",61
"jwplayer",684
"crawler4j",35
"vmac",1
"teaching",922
"one-way-sync",3
"nslayoutconstraint",68
"quicksort",512
"vtd-xml",46
"jit",582
"modelvisual3d",7
"regfreecom",83
"persistence.xml",135
"virtual-desktop",186
"winmain",59
"nsmutableset",32
"android-graphview",7
"biojava",5
"crashrpt",9
"psql",159
"tabbing",124
"document-classification",76
"microsoft-licensing",213
"icepush",20
"unix-utils",131
"untagged",128
"ocs",84
"mozilla",835
"oct",8
"3d-multimedia",16
"stdole",3
"fp",24
"ocx",204
"microsoft-onenote",175
"fs",95
"jgrapht",57
"blog-engine",28
"editing-menu",51
"vs-extensibility",161
"ocd",5
"fn",10
"iso8601",118
"oci",201
"pabbrev",3
"ocl",43
"interpeter",3
"sublist",77
"gutenprint",1
"httpresponse",823
"action-center",3
"getresource",84
"weak",34
"ora-04088",8
"zimlet",1
"zeroconf",129
"pebble-watch",5
"openjpa",476
"scroller",164
"distributed-cache",34
"image-gallery",528
"requestvalidationmode",9
"console2",71
"localnotification",88
"soft-focus",5
"safearray",60
"python-fu",13
"vraptor",7
"thinking",24
"fortinet",68
"jade",801
"sysinfo-retrieving",8
"optional-values",9
"hive-udf",1
"splitindex",1
"dialogresult",43
"dell-dimension",20
"debugging",18936
"txmldocument",20
"k-theory",18
"taskfactory",24
"spell-check",272
"windows-terminal-server",46
"xml-binding",40
"tag-cloud",114
"umn-mapserver",6
"tagx",1
"ios-4.2",396
"docproject",1
"business-basic",3
"yui-datatable",99
"crosslistquerycache",2
"multiplier",1
"isshown",4
"variable-assignment",1156
"pnastwo",1
"webautomation",55
"application-blocks",29
"websphere-6.1",229
"matroids",60
"b-tree-index",8
"jqgrid",5906
"php5-gd",21
"visual-c++-2010",260
"openntpd",6
"kettle",154
"crashlytics",1
"blogroll",29
"inline-view",11
"ansi-colors",15
"mercurial-api",4
"windows-clients",40
"gsutil",10
"fabric",465
"graphchi",8
"long-double",36
"invoices",29
